"account_id","account_name","campaign","advertisement_group","advertisement","date","network","device","keyword","clicks","conversions","conversions_revenue","cost","impressions","interactions","campaign_objective","campaign_objective_std","sales_funnel","day_of_week"
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461479821",2025-02-22,CONTENT,,,6.0,0.0,0.0,4.750435,2698.0,6.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Saturday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461528760",2025-06-14,CONTENT,,,5.0,0.0,0.0,9.920448,5487.0,5.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Saturday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461528760",2025-04-06,CONTENT,,,5.0,0.0,0.0,8.906485,5656.0,5.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Sunday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461528760",2025-07-10,CONTENT,,,11.0,0.0,0.0,17.231699,10501.0,11.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Thursday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461479821",2025-02-24,CONTENT,,,5.0,0.0,0.0,4.119413,2626.0,5.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Monday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461528760",2025-03-05,CONTENT,,,4.0,0.0,0.0,10.936394,6804.0,4.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Wednesday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461528760",2025-01-30,CONTENT,,,7.0,0.0,0.0,9.821378,5466.0,7.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Thursday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461479821",2025-02-08,CONTENT,,,3.0,0.0,0.0,4.893813,3003.0,3.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Saturday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461479821",2025-05-10,CONTENT,,,1.0,0.0,0.0,5.727199,3489.0,1.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Saturday
9471998564,AIWA,CDN T1 - Produto Smart TV,KV - PRETO,"690461528760",2025-02-05,CONTENT,,,12.0,0.0,0.0,13.813487,8189.0,12.0,OUTBOUND_CLICK,OUTBOUND_CLICK,Other,Wednesday
